Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
S274,IRGC Shahed 274,Institute of Industrial Research and Development (Iran),"Iran, Islamic Republic of",Helicopter,Military Helicopter,Turboprop,1,Light,,?,,
S278,HESA Shahed 278,Iran Aircraft Manufacturing Industrial Company (HESA),"Iran, Islamic Republic of",Helicopter,Military Helicopter,Turboprop,1,Light,4,2002,,7
S285,HESA Shahed 285,Iran Aircraft Manufacturing Industrial Company (HESA),"Iran, Islamic Republic of",Helicopter,Military Helicopter,Turboprop,1,Light,1,2009,,
S2P,Grumman S-2 Tracker,Grumman Aerospace Corporation,United States,Landplane,Other military,Piston,2,Medium,4,1952,,1 284
S2T,Grumman S-2 Turbo Tracker,Grumman Aerospace Corporation,United States,Landplane,Other military,Turboprop,2,Medium,4,?,,
S3,Lockheed S-3 Viking,Lockheed Corporation,United States,Landplane,Reconnaissance,Jet,2,Medium,4,1972,1978,188
S330,Schweizer 269D 333,Schweizer Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,1,Light,,?,,
S360,Aerospatiale SA-360 Dauphin,A&eacute;rospatiale,France,Helicopter,Helicopter,Turboprop,1,Light,10,1972,1977,36
S37,Sukhoi Su-47 Berkut (S-37),Sukhoi Company (JSC),Russian Federation,Landplane,Fighter,Jet,2,Medium,1,1997,,4
S38,Sikorsky S-38,Sikorsky Aircraft Corporation,United States,Amphibian,General Aviation,Piston,2,Light,10,1928,?,101
S39,Sikorsky S-39,Sikorsky Aircraft Corporation,United States,Amphibian,General Aviation,Piston,1,Light,,?,,21
S4,Arctic S-4 Privateer,Arctic Aircraft Company,United States,Landplane,_unknown_,Piston,1,Light,,?,,
S400,SGAU S-400 Kapitan,Samarsky Gosudartvennyi Aerokosmitsesky Universitet,Russian Federation,Seaplane,_unknown_,Piston,2,Light,,?,,
S434,Sikorsky S-434,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,1,Light,,2008,,9
S45,Partenair S-45 Mystere,Partenair Design Inc,Canada,Landplane,General Aviation,Piston,1,Light,2,1996,,2
S450,Aero-East-Europe SILA-450,Aero-East-Europe doo,Serbia,Landplane,Ultralight,Piston,1,Light,2,2013,,
S51,Sikorsky H-5,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Piston,1,Light,,1943,1951,300
S51D,Stewart S-51D Mustang,Stewart Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,2,1994,,19
S52,Sikorsky S-52,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,1,Light,4,1947,?,93
S55P,Sikorsky H-19 Chickasaw,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Piston,1,Light,12,1949,,1 728
S55T,Sikorsky S-55T,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,1,Light,12,1949,,
S58P,Sikorsky SH-34 Seabat,Sikorsky Aircraft Corporation,United States,Helicopter,Military Helicopter,Piston,1,Light,16,1954,?,2 108
S58T,Sikorsky H-34 Choctaw,Sikorsky Aircraft Corporation,United States,Helicopter,Military Helicopter,Turboprop,2,Light,16,?,,
S6,Stemme S-6,Stemme Gmbh &amp; Co KG,Germany,Landplane,Motor-Glider,Piston,1,Light,2,2006,,
S601,Aerospatiale SN-601 Corvette,A&eacute;rospatiale,France,Landplane,Business Jet,Jet,2,Light,14,1970,1977,40
S61,Sikorsky SH-3 Sea King,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,2,Medium,7,1959,,
S61R,Sikorsky S-61R,Sikorsky Aircraft Corporation,United States,Helicopter,Military Helicopter,Turboprop,2,Medium,28,1959,,
S62,Sikorsky S-62,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,1,Light,3,1959,,
S64,Sikorsky CH-54 Tarhe,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,2,Medium,3,1962,,105
S65C,Eurocopter AS365 Dauphin,Eurocopter Group ,France,Helicopter,Helicopter,Turboprop,2,Light,11,1975,,1 000
