Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
__FOCM10,Fouga CM.10,Etablissements Fouga et Cie,France,Landplane,Glider,No engine,0,Light,15,1947,?,7
__FOCM88,Fouga CM.88 Gemeaux,Etablissements Fouga et Cie,France,Landplane,General Aviation,Jet,1,Light,1,1951,1951,1
__FOCV,Fokker C.V,Fokker,Netherlands,Landplane,Reconnaissance,Piston,1,Light,2,1924,?,955
__FOD1,Fokker D.I (M.18E),Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1916,1916,144
__FOD10,Fokker D.X,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1921,?,11
__FOD11,Fokker D.XI,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1923,?,117
__FOD12,Fokker D.XII,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1924,?,3
__FOD13,Fokker D.XIII,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1924,?,53
__FOD14,Fokker D.XIV,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1925,1925,1
__FOD16,Fokker D.XVI,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1929,?,22
__FOD17,Fokker D.XVII,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,2,1932,?,
__FOD2,Fokker D.II (M.17E),Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1916,1916,
__FOD21,Fokker D.XXI,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1936,?,148
__FOD23,Fokker D.XXIII,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1939,1939,1
__FOD3,Fokker D.III (M.19),Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,?,?,210
__FOD4,Fokker D.IV (M.21),Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1916,1916,44
__FOD5,Fokker D.V (M.22),Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,?,216
__FOD6,Fokker D.VI,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,1918,59
__FOD9,Fokker D.IX,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1921,1921,1
__FODC1,Fokker DC.I,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,2,1923,?,10
__FOF1,Fokker F.I,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,1917,3
__FOF12,Fokker F.XII,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,3,Light,16,1931,?,11
__FOF14,Fokker F.XIV,Fokker,Netherlands,Landplane,Cargo Airliner,Piston,1,Light,8,1929,1929,1
__FOF18,Fokker F.XVIII,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,3,Medium,12,1932,?,5
__FOF2,Fokker F.II,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,1,Light,6,1919,?,23
__FOF20,Fokker F.XX,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,3,Medium,12,1933,1933,1
__FOF22,Fokker F.XXII,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,4,Medium,22,1935,?,4
__FOF24,Fokker F.XXIV,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,2,Medium,24,?,?,0
__FOF25,Fokker F.25,Fokker,Netherlands,Landplane,General Aviation,Piston,1,Light,4,1946,?,20
__FOF3,Fokker F.III,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,1,Light,6,1921,?,66
__FOF36,Fokker F.XXXVI,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,4,Medium,32,1934,1934,1
__FOF4,Fokker F.IV,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,1,Light,12,1921,?,2
__FOF5,Fokker F.V,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,1,Light,10,1922,1922,1
__FOF7,Fokker F.VII,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,3,,8,1924,1932,
__FOF8,Fokker F.VIII,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,2,Light,15,1927,?,11
__FOF9,Fokker F.IX,Fokker,Netherlands,Landplane,Passenger Airliner,Piston,3,Medium,20,1929,?,18
__FOG1,Fokker G.I,Fokker,Netherlands,Landplane,Fighter,Piston,2,Light,3,1937,?,63
__FOM10,Fokker M.10,Fokker,Netherlands,Landplane,Reconnaissance,Piston,1,Light,2,?,?,
__FOM16,Fokker M.16,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1915,?,
__FOM5,Fokker M.5,Fokker,Netherlands,Landplane,Reconnaissance,Piston,1,Light,1,1913,?,
__FOM6,Fokker M.6,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,2,1914,?,
__FOM7,Fokker M.7,Fokker,Netherlands,Landplane,Reconnaissance,Piston,1,Light,2,?,?,20
__FOM9,Fokker K.I (M.9),Fokker,Netherlands,Landplane,General Aviation,Piston,1,Light,3,1915,1915,
__FOMID,Folland Midge,Folland Aircraft,United Kingdom,Landplane,Military Trainer,Jet,1,Light,1,1954,1954,1
__FOPW5,Fokker PW-5,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1921,?,12
__FOS1,Fokker S.I,Fokker,Netherlands,Landplane,Military Trainer,Piston,1,Light,2,1919,?,3
__FOS13,Fokker S-13 Univeral Trainer,Fokker,Netherlands,Landplane,General Aviation,Piston,2,Light,2,1949,1949,1
__FOS14,Fokker S-14 Machtrainer,Fokker,Netherlands,Landplane,Military Trainer,Jet,1,Light,2,1951,?,21
__FOS2,Fokker S.II,Fokker,Netherlands,Landplane,Military Trainer,Piston,1,Light,2,1922,?,15
__FOS3,Fokker S.III,Fokker,Netherlands,Landplane,Military Trainer,Piston,1,Light,2,?,?,21
__FOS4,Fokker S.IV,Fokker,Netherlands,Landplane,Military Trainer,Piston,1,Light,2,1924,?,31
__FOS9,Fokker S.IX,Fokker,Netherlands,Landplane,Military Trainer,Piston,1,Light,2,1937,?,50
__FOSP,Fokker Spin,Fokker,Netherlands,Landplane,General Aviation,Piston,1,Light,1,1910,?,25
__FOT2,Fokker T.II,Fokker,Netherlands,Landplane,Bomber,Piston,1,Light,2,1921,?,3
__FOT3,Fokker T.III,Fokker,Netherlands,Seaplane,Bomber,Piston,1,Light,3,1923,?,5
__FOT4,Fokker T.IV,Fokker,Netherlands,Seaplane,Bomber,Piston,2,Light,4,1927,?,33
__FOT5,Fokker T.V,Fokker,Netherlands,Landplane,Bomber,Piston,2,Light,5,1937,?,16
__FOT8,Fokker T.VIII,Fokker,Netherlands,Seaplane,Bomber,Piston,2,Light,3,1938,?,36
__FOT9,Fokker T.IX,Fokker,Netherlands,Landplane,Bomber,Piston,2,Medium,,1939,1939,1
__FOV1,Fokker V.1,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1916,1916,1
__FOV17,Fokker V.17,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,?,1918,5
__FOV2,Fokker V.2,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,?,?,
__FOV27,Fokker V.27,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1918,1918,2
__FOV39,Fokker V.39,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1918,1918,
__FOV4,Fokker V.4,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,?,?,
__FOV6,Fokker V.6,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,1917,
__FOV7,Fokker V.7,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,1917,4
__FOV8,Fokker V.8,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,1917,1
__FOV9,Fokker V.9,Fokker,Netherlands,Landplane,Fighter,Piston,1,Light,1,1917,1917,5
__FRD1,Friedrichshafen D.I,Flugzeugbau Friedrichshafen,Germany,Landplane,Fighter,Piston,1,Light,1,1917,?,3
__FRFF29,Friedrichshafen FF.29,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,2,1914,?,30
__FRFF31,Friedrichshafen FF.31,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,2,1914,?,
__FRFF33,Friedrichshafen FF.33,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,2,1914,?,315
__FRFF34,Friedrichshafen FF.34,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,2,1916,1916,1
__FRFF35,Friedrichshafen FF.35,Flugzeugbau Friedrichshafen,Germany,Seaplane,Bomber,Piston,2,Light,3,1916,1916,1
__FRFF40,Friedrichshafen FF.40,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,3,1916,1916,1
__FRFF41,Friedrichshafen FF.41,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,2,Light,3,1917,?,9
__FRFF43,Friedrichshafen FF.43,Flugzeugbau Friedrichshafen,Germany,Seaplane,Fighter,Piston,1,Light,1,1916,1916,1
__FRFF48,Friedrichshafen FF.48,Flugzeugbau Friedrichshafen,Germany,Seaplane,Fighter,Piston,1,Light,2,1917,?,3
__FRFF49,Friedrichshafen FF.49,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,2,1917,?,240
__FRFF53,Friedrichshafen FF.53,Flugzeugbau Friedrichshafen,Germany,Seaplane,Bomber,Piston,2,Light,3,1918,1918,3
__FRFF54,Friedrichshafen FF.54,Flugzeugbau Friedrichshafen,Germany,Landplane,Fighter,Piston,1,Light,1,1917,1918,2
__FRFF60,Friedrichshafen FF.60,Flugzeugbau Friedrichshafen,Germany,Seaplane,General Aviation,Piston,4,Medium,4,1918,1918,1
__FRFF64,Friedrichshafen FF.64,Flugzeugbau Friedrichshafen,Germany,Seaplane,Reconnaissance,Piston,1,Light,2,1918,1918,3
__FRFF71,Friedrichshafen FF.71,Flugzeugbau Friedrichshafen,Germany,Seaplane,Passenger Airliner,Piston,1,Light,4,1919,?,6
__FRG1,Friedrichshafen G.I,Flugzeugbau Friedrichshafen,Germany,Landplane,Bomber,Piston,2,Light,3,1915,1915,1
__FRG2,Friedrichshafen G.II,Flugzeugbau Friedrichshafen,Germany,Landplane,Bomber,Piston,2,Light,3,1916,?,35
__FRG3,Friedrichshafen G.III,Flugzeugbau Friedrichshafen,Germany,Landplane,Bomber,Piston,2,Light,3,1917,1918,338
__FRG4,Friedrichshafen G.IV,Flugzeugbau Friedrichshafen,Germany,Landplane,Bomber,Piston,2,Light,3,1918,1918,
__FRN1,Friedrichshafen N.I,Flugzeugbau Friedrichshafen,Germany,Landplane,Bomber,Piston,1,Light,2,1917,1917,1
__FSB,Fantasy Sky Promotions Balloons (all models),Fantasy Sky Promotions,Canada,Balloon,Balloon,No engine,0,,,?,,
__FSF1,Felixstowe F.1,Seaplane Experimental Station,United Kingdom,Seaplane,Reconnaissance,Piston,2,Light,4,?,?,4
__FSF2,Felixstowe F.2,Seaplane Experimental Station,United Kingdom,Seaplane,Reconnaissance,Piston,2,Light,4,1916,?,175
__FSF3,Felixstowe F.3,Seaplane Experimental Station,United Kingdom,Seaplane,Reconnaissance,Piston,2,Light,4,1917,?,182
__FSF4F,Felixstowe F.4 Fury,Seaplane Experimental Station,United Kingdom,Seaplane,Reconnaissance,Piston,5,Medium,30,1918,1918,1
__FSF5,Felixstowe F.5,Seaplane Experimental Station,United Kingdom,Seaplane,Reconnaissance,Piston,2,Light,4,1917,?,163
__FSPB,Felixstowe Porte Baby,Seaplane Experimental Station,United Kingdom,Seaplane,Reconnaissance,Piston,3,Medium,5,1915,?,11
__FTSP,Flight Team Spider,Flight Team UG &amp; Company KG,Germany,Landplane,Ultralight,Piston,1,Light,2,1992,,
__FTTW,Flight Team Twister,Flight Team UG &amp; Company KG,Germany,Landplane,Ultralight,Piston,1,Light,2,?,,
__FU30,FUL MA 30 Graffiti,Fachschule f&uuml;r Ultraleicht und Motorflug,Germany,Landplane,Ultralight,Piston,1,Light,2,?,,
__FURY,Hawker Fury,Hawker Aircraft,United Kingdom,Landplane,Fighter,Piston,1,Light,1,1931,?,275
__FVMJ23,FVM J 23,Flygcompaniets Verkst&auml;der at Malmen,Sweden,Landplane,Fighter,Piston,1,Light,1,1923,?,5
__FW152,Focke-Wulf Ta 152,Focke-Wulf Flugzeugbau AG,Germany,Landplane,Fighter,Piston,1,Light,1,1944,?,
__FW154,Focke-Wulf Ta 154 Moskito,Focke-Wulf Flugzeugbau AG,Germany,Landplane,Fighter,Piston,2,Medium,2,1943,?,
__FW56,Focke-Wulf Fw 56,Focke-Wulf Flugzeugbau AG,Germany,Landplane,Military Trainer,Piston,1,Light,1,1935,?,1 000
__FW58,Focke-Wulf Fw 58,Focke-Wulf Flugzeugbau AG,Germany,Landplane,Military Trainer,Piston,2,,4,1935,?,
__FW61,Focke-Wulf Fw 61,Focke-Wulf Flugzeugbau AG,Germany,Helicopter,Helicopter,Piston,1,Light,1,1936,1936,2
__G102,Grob G-102 Astir,Grob Aircraft,Germany,Landplane,Glider,No engine,0,Light,1,1974,,1 241
__G103A,Grob G103a Twin II,Grob Aircraft,Germany,Landplane,Glider,No engine,0,Light,2,?,,549
__G104,Grob G-104 Speed Astir,Grob Aircraft,Germany,Landplane,Glider,No engine,0,Light,1,1978,,108
__G145,Gotha Go 145,Gothaer Waggonfabrik (GWF),Germany,Landplane,General Aviation,Piston,1,Light,2,1934,?,1 182
__G212,Fiat G.212,Fiat Aviazione,Italy,Landplane,Passenger Airliner,Piston,3,,34,1947,1950,19
__G242,Gotha Go 242,Gothaer Waggonfabrik (GWF),Germany,Landplane,Glider,No engine,0,Light,23,1941,?,1 528
__G244,Gotha Go 244,Gothaer Waggonfabrik (GWF),Germany,Landplane,Military Cargo,Piston,2,Medium,23,1941,?,174
__G3M,Mitsubishi G3M,Mitsubishi Heavy Industries,Japan,Landplane,Bomber,Piston,2,,7,1935,?,1 048
__G4M,Mitsubishi G4M,Mitsubishi Heavy Industries,Japan,Landplane,Bomber,Piston,2,,7,1939,?,2 435
__G50,Fiat G.50 Freccia,Fiat Aviazione,Italy,Landplane,Fighter,Piston,1,Light,1,1937,?,791
__G55,Fiat G.55 Centauro,Fiat Aviazione,Italy,Landplane,Fighter,Piston,1,Light,1,1942,?,349
__GABMO,Gabardini monoplane,Societ&agrave; Incremento Aviazione,Italy,Landplane,General Aviation,Piston,1,Light,1,1913,?,
__GAL33,General Aircraft GAL.33 Cagnet,General Aircraft Limited,United Kingdom,Landplane,Military Trainer,Piston,1,Light,2,1939,1939,1
__GAL38,General Aircraft GAL.38 Fleet Shadower,General Aircraft Limited,United Kingdom,Landplane,Reconnaissance,Piston,4,Light,3,1940,1940,1
__GAL42,General Aircraft GAL.42 Cygnet II,General Aircraft Limited,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,1937,?,10
__GAL45,General Aircraft GAL.45 Owlet,General Aircraft Limited,United Kingdom,Landplane,Military Trainer,Piston,1,Light,2,1940,1940,1
__GAL47,General Aircraft GAL.47,General Aircraft Limited,United Kingdom,Landplane,Reconnaissance,Piston,1,Light,2,1940,1940,1
__GAL48,General Aircraft GAL.48 Hotspur,General Aircraft Limited,United Kingdom,Landplane,Glider,No engine,0,Light,10,1940,1943,1 015
__GAL49,General Aircraft GAL.49 Hamilcar,General Aircraft Limited,United Kingdom,Landplane,Glider,No engine,0,Light,2,1942,1946,344
__GAL55,General Aircraft GAL.55,General Aircraft Limited,United Kingdom,Landplane,Glider,No engine,0,Light,2,1943,?,2
__GAL56,General Aircraft GAL.56,General Aircraft Limited,United Kingdom,Landplane,Glider,No engine,0,Light,2,1944,?,4
__GAMO,General Aircraft Monospar,General Aircraft Limited,United Kingdom,Landplane,General Aviation,Piston,2,Light,4,1932,?,45
__GAST18,General Aircraft ST-18 Croydon,General Aircraft Limited,United Kingdom,Landplane,Passenger Airliner,Piston,2,Light,10,1935,1935,1
__GAST25,General Aircraft Monospar ST-25,General Aircraft Limited,United Kingdom,Landplane,General Aviation,Piston,2,Light,5,1935,1939,60
__GBQED,Gee Bee Q.E.D.,Granville Brothers Aircraft,United States,Landplane,General Aviation,Piston,1,Light,2,1934,1934,1
__GBR,Granville Gee Bee Model R,Granville Brothers Aircraft,United States,Landplane,General Aviation,Piston,1,Light,1,1932,1933,
__GBZ,Granville Gee Bee Model Z,Granville Brothers Aircraft,United States,Landplane,General Aviation,Piston,1,Light,1,1931,1931,1
__GEC1,Germania C.I,Germania Flugzeugwerke,Germany,Landplane,Reconnaissance,Piston,1,Light,2,1917,?,
__GENP,Genevation GenPro,Genevation Aircraft Ltd.,Hungary,Landplane,General Aviation,Piston,1,Light,1,2016,,2
__GF201,Glasfl&uuml;gel H-201 Standard Libelle ,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1967,,601
__GF205,Glasfl&uuml;gel H-205 Club Libelle ,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1975,,171
__GF206,Glasfl&uuml;gel H-206 Hornet,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1974,,102
__GF301,Glasfl&uuml;gel H-301 Libelle ,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1964,,111
__GF303,Glasfl&uuml;gel H-303 Mosquito,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,?,,202
__GF304,Glasfl&uuml;gel H-304,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1980,,65
__GF401,Glasfl&uuml;gel H-401 Kestrel,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1968,,129
__GFB,Gefa-Flug Balloons &amp; Airships (all models),GEFA-Flug,Germany,Balloon,Balloon,No engine,0,,,?,,
__GFBS1,Glasfl&uuml;gel BS-1,Glasfl&uuml;gel,Germany,Landplane,Glider,No engine,0,Light,1,1962,1969,20
__GG4,Gotha G.IV,Gothaer Waggonfabrik (GWF),Germany,Landplane,Bomber,Piston,2,Light,3,1916,1917,230
__GG5,Gotha G.V,Gothaer Waggonfabrik (GWF),Germany,Landplane,Bomber,Piston,2,Light,3,1917,1918,205
__GL2,Gourdou-Leseurre GL.2,Gourdou-Leseurre,France,Landplane,Fighter,Piston,1,Light,1,1918,?,
__GL30,Gourdou-Leseurre GL.30,Gourdou-Leseurre,France,Landplane,General Aviation,Piston,1,Light,1,1920,?,500
__GL40,Georges Levy G.L.40,Hydravions Georges L&eacute;vy,France,Amphibian,Reconnaissance,Piston,1,Light,3,1917,?,
__GL50,Gourdou-Leseurre GL.50,Gourdou-Leseurre,France,Landplane,Fighter,Piston,1,Light,2,1922,?,2
__GL812,Gourdou-Leseurre GL-812 HY,Gourdou-Leseurre,France,Seaplane,Reconnaissance,Piston,1,Light,3,1940,?,86
__GL820,Gourdou-Leseurre GL-820 HY,Gourdou-Leseurre,France,Seaplane,Reconnaissance,Piston,1,Light,4,1935,1937,3
__GL832,Gourdou-Leseurre GL-832 HY,Gourdou-Leseurre,France,Landplane,Reconnaissance,Piston,1,Light,2,1931,1936,22
__GLA,Gourdou-Leseurre Type A,Gourdou-Leseurre,France,Landplane,Fighter,Piston,1,Light,1,1918,1918,1
__GLA3,Lat&eacute;co&egrave;re 3,Groupe Lat&eacute;co&egrave;re,France,Landplane,General Aviation,Piston,1,Light,2,1919,1919,1
__GLE28,Gloster E.28/39,Gloster Aircraft Company,United Kingdom,Landplane,Fighter,Jet,1,Light,1,1941,?,2
__GLF5A,Gulfstream V (C-37A),Gulfstream Aerospace Corporation,United States,Landplane,Business Jet,Jet,2,Medium,19,1997,,193
__GLGRE,Gloster Grebe,Gloster Aircraft Company,United Kingdom,Landplane,Fighter,Piston,1,Light,1,1923,?,133
__GLJAV,Gloster Javelin,Gloster Aircraft Company,United Kingdom,Landplane,Fighter,Jet,2,Medium,2,1951,?,436
__GLO3,Gloster III,Gloster Aircraft Company,United Kingdom,Seaplane,General Aviation,Piston,1,Light,1,1925,?,2
__GLO6,Gloster VI,Gloster Aircraft Company,United Kingdom,Seaplane,General Aviation,Piston,1,Light,1,1929,?,2
__GLSH,Gloster Sparrowhawk,Gloster Aircraft Company,United Kingdom,Landplane,Fighter,Piston,1,Light,1,1921,?,91
__GP1,Gonz&aacute;lez Gil-Paz&oacute; GP-1,Gonz&aacute;lez Gil-Paz&oacute;,Spain,Landplane,General Aviation,Piston,1,Light,2,1934,?,40
__GP5,Osprey GP-5 Sweet Dreams,Osprey Aircraft,United States,Landplane,General Aviation,Piston,1,Light,2,2007,2007,1
__GRAFG,Grumman AF Guardian,Grumman Aerospace Corporation,United States,Landplane,Fighter,Piston,1,Light,3,1945,?,389
__GRC1,Grumman C-1 Trader,Grumman Aerospace Corporation,United States,Landplane,Military Cargo,Piston,2,Medium,2,1955,?,87
__GRDI3,Grigorovich DI-3,Grigorovich,Russian Federation,Landplane,Fighter,Piston,1,Light,2,1931,1931,1
__GRE1,Grumman E-1 Tracer,Grumman Aerospace Corporation,United States,Landplane,Reconnaissance,Piston,2,Medium,4,1956,?,88
__GRE2,Grigorovich E-2,Grigorovich,Russian Federation,Landplane,General Aviation,Piston,2,Light,2,1935,1935,1
__GREM,Guerchais-Roche &Eacute;mouchet,Arsenal de l&#039;A&eacute;ronautique,France,Landplane,Glider,No engine,0,Light,1,1942,?,450
__GRF9,Grumman F-9 Cougar,Grumman Aerospace Corporation,United States,Landplane,Fighter,Jet,1,Light,1,1951,?,1 988
__GRFF,Grumman FF,Grumman American Aviation Corporation,United States,Landplane,Fighter,Piston,1,Light,2,1931,1934,116
__GRI1,Grigorovich I-1,Grigorovich,Russian Federation,Landplane,Fighter,Piston,1,Light,1,1924,1924,1
__GRI2,Grigorovich I-2,Grigorovich,Russian Federation,Landplane,Fighter,Piston,1,Light,1,1924,?,212
__GRIP1,Grigorovich IP-1,Grigorovich,Russian Federation,Landplane,Fighter,Piston,1,Light,1,1935,?,90
__GRIZ,Grigorovich I-Z,Grigorovich,Russian Federation,Landplane,Fighter,Piston,1,Light,1,1931,?,73
__GRM1,Grigorovich M-1,Shchetinin,Russian Federation,Seaplane,General Aviation,Piston,1,Light,2,1913,1913,1
__GRM11,Grigorovich M-11,Shchetinin,Russian Federation,Seaplane,Fighter,Piston,1,Light,1,1916,?,60
__GRM15,Grigorovich M-15,Shchetinin,Russian Federation,Seaplane,Reconnaissance,Piston,1,Light,2,?,?,
__GRM16,Grigorovich M-16,Shchetinin,Russian Federation,Seaplane,Reconnaissance,Piston,1,Light,2,1916,?,40
__GRM24,Grigorovich M-24,Grigorovich,Russian Federation,Seaplane,Reconnaissance,Piston,1,Light,2,1923,?,60
__GRM5,Grigorovich M-5,Shchetinin,Russian Federation,Seaplane,Reconnaissance,Piston,1,Light,2,1915,?,300
__GRM9,Grigorovich M-9,Shchetinin,Russian Federation,Seaplane,Reconnaissance,Piston,1,Light,2,1916,?,500
__GRMK1,Grigorovich MK-1,Shchetinin,Russian Federation,Seaplane,Bomber,Piston,3,Light,4,1916,1916,1
__GRMU2,Grigorovich MU-2,Grigorovich,Russian Federation,Seaplane,Military Trainer,Piston,1,Light,8,1928,1928,1
__GRMUR1,Grigorovich MUR-1,Grigorovich,Russian Federation,Seaplane,Military Trainer,Piston,1,Light,2,1926,1926,1
__GRSUVP,Grigorovich SUVP,Grigorovich,Russian Federation,Landplane,General Aviation,Piston,1,Light,3,1925,1925,1
__GRTB5,Grigorovich TB-5,Grigorovich,Russian Federation,Landplane,Bomber,Piston,4,Medium,6,1931,1931,1
__GT9,Tomark Skyper GT9,Tomark sro,Slovakia,Landplane,Ultralight,Piston,1,Light,2,2014,,
__GU1,Gulfstream I,Gulfstream Aerospace Corporation,United States,Landplane,Passenger Airliner,Turboprop,2,Medium,24,1958,1969,200
__GW15,Grahame-White Type XV,Grahame-White Aviation Company,United Kingdom,Landplane,Military Trainer,Piston,1,Light,2,1913,?,135
__GWBA,Grahame-White Baby,Grahame-White Aviation Company,United Kingdom,Landplane,General Aviation,Piston,1,Light,1,1911,?,6
__GWE6,Grahame-White G.W.E.6 Bantam,Grahame-White Aviation Company,United Kingdom,Landplane,General Aviation,Piston,1,Light,1,1919,?,3
__GWGW,Goldwing Ltd Goldwing,Goldwing Ltd,United States,Landplane,Ultralight,Piston,1,Light,1,1979,,
__GY12,Gardan GY-120,Avions Yves Gardan,France,Landplane,General Aviation,Piston,1,Light,2,1984,1984,1
__GYF2G,Goodyear F2G Super Corsair,Goodyear Aircraft Corporation,United States,Landplane,Fighter,Piston,1,Light,1,1945,,10
__GYQH50,Gyrodyne QH-50 DASH,Gyrodyne Company of America,United States,Helicopter,Helicopter,Turboprop,1,Light,0,1959,?,
__GZ20,Goodyear GZ-20,Goodyear Aircraft Corporation,United States,Balloon,Balloon,Piston,2,Light,6,1969,,6
__H115,Heinkel He 115,Heinkel Flugzeugwerke,Germany,Seaplane,Bomber,Piston,2,,3,1937,?,138
__H120,Airbus Helicopters H120,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,1,Light,5,1995,2017,
__H121,Hawker Siddeley HS.121 Trident,Hawker Siddeley,United Kingdom,Landplane,Passenger Airliner,Jet,3,Medium,115,1962,1978,117
__H125,Airbus Helicopters H125,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,1,Light,6,1974,,
__H125M,Airbus Helicopters H125M,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,1,Light,4,1990,,
__H126,Hunting H.126,Hunting Aircraft Ltd,United Kingdom,Landplane,General Aviation,Jet,1,Light,1,1963,1963,1
__H129,Henschel Hs 129,Henschel &amp; Son,Germany,Landplane,Other military,Piston,2,Light,1,1939,1944,865
__H130,Airbus Helicopters H130,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,1,Light,6,1999,,
__H135,Airbus Helicopters H135,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,2,Light,8,1994,,
__H135M,Airbus Helicopters H135M,Airbus Helicopters,_unknown_,Helicopter,Military Helicopter,Turboprop,2,Light,8,1998,,
__H145,Airbus Helicopters H145,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,2,Light,9,1999,,
__H145M,Airbus Helicopters H145M,Airbus Helicopters,_unknown_,Helicopter,Military Helicopter,Turboprop,2,Light,9,1999,,
__H155,Airbus Helicopters H155,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,2,Light,13,1997,,
__H175,Airbus Helicopters H175,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,2,Light,16,2009,,
__H177,Heinkel He 177,Heinkel Flugzeugwerke,Germany,Landplane,Bomber,Piston,1,Light,6,1939,1944,1 169
__H178,Heinkel He 178,Heinkel Flugzeugwerke,Germany,Landplane,General Aviation,Jet,1,,1,1939,1939,1
__H215,Airbus Helicopters H215,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,2,Medium,19,1978,,
__H215M,Airbus Helicopters H215M,Airbus Helicopters,_unknown_,Helicopter,Military Helicopter,Turboprop,2,Medium,20,1977,,
__H225,Airbus Helicopters H225,Airbus Helicopters,_unknown_,Helicopter,Helicopter,Turboprop,2,Medium,24,2000,,
__H225M,Airbus Helicopters H225M,Airbus Helicopters,_unknown_,Helicopter,Military Helicopter,Turboprop,2,Light,29,2000,,
__H304,Hybrid Air Vehicles HAV 304 Airlander 10,Hybrid Air Vehicles,United Kingdom,Balloon,Balloon,Piston,4,Light,,2016,,1
__H45,Hamilton H-45 / H-47 Metalplane,Hamilton Metalplane Company,United States,Landplane,General Aviation,Piston,1,Light,8,1928,?,46
